videoname,paramQP,frameWidth,frameHeight,CU_width,CU_height,topLeft_x,topLeft_y,bottomRight_x,bottomRight_y,POC,qtdepth,mtdepth,splitType,cost,RDCost,target,variance,mean,gradientH,gradientV,ratioGrad,sum,quarter1Var,quarter1Mean,quarter1GradH,quarter1GradV,quarter1RatioGrad,quarter1Sum,quarter2Var,quarter2Mean,quarter2GradH,quarter2GradV,quarter2RatioGrad,quarter2Sum,quarter3Var,quarter3Mean,quarter3GradH,quarter3GradV,quarter3RatioGrad,quarter3Sum,quarter4Var,quarter4Mean,quarter4GradH,quarter4GradV,quarter4RatioGrad,quarter4Sum
BasketballPass,27,416,240,16,64,48,64,63,127,3,1,1,BI_HORZ,2777543,2777543,0,3971.08984375,292.1875,2592.0,53664.0,0.048300536672629686,299200.0,7053.017517089844,279.8828125,62784.0,52416.0,1.1978021978021978,143300.0,586.3515014648438,304.4921875,5344.0,64544.0,0.08279623202776401,155900.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,32,416,240,16,64,48,64,63,127,3,1,1,BI_HORZ,1849225,1849225,0,3971.08984375,292.1875,2592.0,53664.0,0.048300536672629686,299200.0,7053.017517089844,279.8828125,62784.0,52416.0,1.1978021978021978,143300.0,586.3515014648438,304.4921875,5344.0,64544.0,0.08279623202776401,155900.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,64,64,0,79,63,1,1,1,BI_HORZ,8985348,8985348,0,33407.327575683594,452.9765625,25120.0,30048.0,0.8359957401490948,463848.0,1966.778259277344,564.0546875,55584.0,51776.0,1.073547589616811,288796.0,40171.177185058594,341.8984375,35072.0,51232.0,0.6845721424109932,175052.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,64,80,0,95,63,2,1,2,BI_HORZ,18162514,18162514,0,42348.493103027344,365.8046875,61280.0,44832.0,1.366880799428979,374584.0,27432.32592773437,492.546875,15104.0,12768.0,1.1829573934837092,252184.0,25137.49609375,239.0625,46176.0,34144.0,1.3523898781630739,122400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,37,416,240,16,64,80,0,95,63,2,1,2,BI_HORZ,1278170,1278170,0,42348.493103027344,365.8046875,61280.0,44832.0,1.366880799428979,374584.0,27432.32592773437,492.546875,15104.0,12768.0,1.1829573934837092,252184.0,25137.49609375,239.0625,46176.0,34144.0,1.3523898781630739,122400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,64,112,0,127,63,1,1,1,BI_HORZ,2373353,2373353,0,997.0068359375,558.65625,56704.0,3776.0,15.016949152542374,572064.0,1232.493896484375,552.078125,62976.0,65152.0,0.9666011787819252,282664.0,674.976318359375,565.234375,59264.0,2496.0,23.743589743589745,289400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,64,112,0,127,63,2,1,1,BI_HORZ,3649578,3649578,0,991.2264251708984,559.01171875,57344.0,3552.0,16.144144144144143,572428.0,1223.3983764648438,552.5078125,63424.0,65024.0,0.9753937007874016,282884.0,674.452880859375,565.515625,59456.0,2304.0,25.805555555555557,289544.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,64,112,0,127,63,2,1,2,BI_HORZ,3676582,3676582,0,991.2264251708984,559.01171875,57344.0,3552.0,16.144144144144143,572428.0,1223.3983764648438,552.5078125,63424.0,65024.0,0.9753937007874016,282884.0,674.452880859375,565.515625,59456.0,2304.0,25.805555555555557,289544.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,27,416,240,16,64,112,0,127,63,2,1,1,BI_HORZ,1607327,1607327,0,991.2264251708984,559.01171875,57344.0,3552.0,16.144144144144143,572428.0,1223.3983764648438,552.5078125,63424.0,65024.0,0.9753937007874016,282884.0,674.452880859375,565.515625,59456.0,2304.0,25.805555555555557,289544.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,32,416,240,16,64,112,0,127,63,2,1,1,BI_HORZ,846744,846744,0,991.2264251708984,559.01171875,57344.0,3552.0,16.144144144144143,572428.0,1223.3983764648438,552.5078125,63424.0,65024.0,0.9753937007874016,282884.0,674.452880859375,565.515625,59456.0,2304.0,25.805555555555557,289544.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,37,416,240,16,64,112,0,127,63,2,1,1,BI_HORZ,737109,737109,0,991.2264251708984,559.01171875,57344.0,3552.0,16.144144144144143,572428.0,1223.3983764648438,552.5078125,63424.0,65024.0,0.9753937007874016,282884.0,674.452880859375,565.515625,59456.0,2304.0,25.805555555555557,289544.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,37,416,240,16,64,112,0,127,63,2,1,2,BI_HORZ,737109,737109,0,991.2264251708984,559.01171875,57344.0,3552.0,16.144144144144143,572428.0,1223.3983764648438,552.5078125,63424.0,65024.0,0.9753937007874016,282884.0,674.452880859375,565.515625,59456.0,2304.0,25.805555555555557,289544.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,64,192,64,207,127,1,1,1,BI_HORZ,2304635,2304635,0,432.3001556396485,520.30078125,22208.0,3424.0,6.485981308411215,532788.0,503.65234375,524.6875,10752.0,5536.0,1.9421965317919077,268640.0,322.46136474609375,515.9140625,11456.0,64320.0,0.1781094527363184,264148.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
