videoname,paramQP,frameWidth,frameHeight,CU_width,CU_height,topLeft_x,topLeft_y,bottomRight_x,bottomRight_y,POC,qtdepth,mtdepth,splitType,cost,RDCost,target,variance,mean,gradientH,gradientV,ratioGrad,sum,quarter1Var,quarter1Mean,quarter1GradH,quarter1GradV,quarter1RatioGrad,quarter1Sum,quarter2Var,quarter2Mean,quarter2GradH,quarter2GradV,quarter2RatioGrad,quarter2Sum,quarter3Var,quarter3Mean,quarter3GradH,quarter3GradV,quarter3RatioGrad,quarter3Sum,quarter4Var,quarter4Mean,quarter4GradH,quarter4GradV,quarter4RatioGrad,quarter4Sum
BasketballPass,22,416,240,16,32,0,64,15,95,1,2,1,BI_VERT,1469554,1469554,0,13695.52734375,402.3125,45088.0,8992.0,5.014234875444839,205984.0,11344.349365234375,424.296875,55712.0,56256.0,0.99032992036405,108620.0,15080.079833984375,380.328125,52320.0,18272.0,2.863397548161121,97364.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,32,0,64,15,95,2,1,2,BI_VERT,2621770,2621770,0,13660.242126464844,402.5078125,44928.0,8768.0,5.124087591240876,206084.0,11307.816162109375,424.609375,55808.0,56064.0,0.9954337899543378,108700.0,15035.7099609375,380.40625,52576.0,18240.0,2.882456140350877,97384.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,32,0,64,15,95,2,2,1,BI_VERT,2621770,2621770,0,13660.242126464844,402.5078125,44928.0,8768.0,5.124087591240876,206084.0,11307.816162109375,424.609375,55808.0,56064.0,0.9954337899543378,108700.0,15035.7099609375,380.40625,52576.0,18240.0,2.882456140350877,97384.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,27,416,240,16,32,0,64,15,95,2,1,2,BI_VERT,1478743,1478743,0,13660.242126464844,402.5078125,44928.0,8768.0,5.124087591240876,206084.0,11307.816162109375,424.609375,55808.0,56064.0,0.9954337899543378,108700.0,15035.7099609375,380.40625,52576.0,18240.0,2.882456140350877,97384.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,27,416,240,16,32,0,64,15,95,2,2,1,BI_VERT,1478743,1478743,0,13660.242126464844,402.5078125,44928.0,8768.0,5.124087591240876,206084.0,11307.816162109375,424.609375,55808.0,56064.0,0.9954337899543378,108700.0,15035.7099609375,380.40625,52576.0,18240.0,2.882456140350877,97384.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,32,416,240,16,32,0,64,15,95,2,1,2,BI_VERT,876919,876919,0,13660.242126464844,402.5078125,44928.0,8768.0,5.124087591240876,206084.0,11307.816162109375,424.609375,55808.0,56064.0,0.9954337899543378,108700.0,15035.7099609375,380.40625,52576.0,18240.0,2.882456140350877,97384.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,32,416,240,16,32,0,64,15,95,2,2,1,BI_VERT,876919,876919,0,13660.242126464844,402.5078125,44928.0,8768.0,5.124087591240876,206084.0,11307.816162109375,424.609375,55808.0,56064.0,0.9954337899543378,108700.0,15035.7099609375,380.40625,52576.0,18240.0,2.882456140350877,97384.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,32,0,64,15,95,3,1,2,BI_VERT,29232731,29232731,0,13733.560302734375,402.046875,44896.0,8992.0,4.99288256227758,205848.0,11339.3662109375,423.90625,55360.0,56064.0,0.9874429223744292,108520.0,15172.08984375,380.1875,52928.0,18464.0,2.8665511265164643,97328.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,32,0,64,15,95,3,2,1,BI_VERT,2046632,2046632,0,13733.560302734375,402.046875,44896.0,8992.0,4.99288256227758,205848.0,11339.3662109375,423.90625,55360.0,56064.0,0.9874429223744292,108520.0,15172.08984375,380.1875,52928.0,18464.0,2.8665511265164643,97328.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,32,0,96,15,127,1,2,1,BI_VERT,1685172,1685172,0,4282.730224609375,356.140625,17440.0,49312.0,0.3536664503569111,182344.0,2642.663818359375,333.234375,7264.0,60608.0,0.1198521647307286,85308.0,4873.404052734375,379.046875,5888.0,54240.0,0.10855457227138644,97036.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,32,0,96,15,127,2,1,2,BI_VERT,2777165,2777165,0,4286.3583984375,356.28125,17472.0,49344.0,0.3540856031128405,182416.0,2643.089599609375,333.359375,7008.0,60704.0,0.1154454401686874,85340.0,4878.802490234375,379.203125,5792.0,54176.0,0.10691080921441228,97076.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,32,0,96,15,127,2,2,1,BI_VERT,2780625,2780625,0,4286.3583984375,356.28125,17472.0,49344.0,0.3540856031128405,182416.0,2643.089599609375,333.359375,7008.0,60704.0,0.1154454401686874,85340.0,4878.802490234375,379.203125,5792.0,54176.0,0.10691080921441228,97076.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,27,416,240,16,32,0,96,15,127,2,1,2,BI_VERT,1282774,1282774,0,4286.3583984375,356.28125,17472.0,49344.0,0.3540856031128405,182416.0,2643.089599609375,333.359375,7008.0,60704.0,0.1154454401686874,85340.0,4878.802490234375,379.203125,5792.0,54176.0,0.10691080921441228,97076.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,27,416,240,16,32,0,96,15,127,2,2,1,BI_VERT,1296326,1296326,0,4286.3583984375,356.28125,17472.0,49344.0,0.3540856031128405,182416.0,2643.089599609375,333.359375,7008.0,60704.0,0.1154454401686874,85340.0,4878.802490234375,379.203125,5792.0,54176.0,0.10691080921441228,97076.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,32,416,240,16,32,0,96,15,127,2,1,2,BI_VERT,887905,887905,0,4286.3583984375,356.28125,17472.0,49344.0,0.3540856031128405,182416.0,2643.089599609375,333.359375,7008.0,60704.0,0.1154454401686874,85340.0,4878.802490234375,379.203125,5792.0,54176.0,0.10691080921441228,97076.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,32,416,240,16,32,0,96,15,127,2,2,1,BI_VERT,888543,888543,0,4286.3583984375,356.28125,17472.0,49344.0,0.3540856031128405,182416.0,2643.089599609375,333.359375,7008.0,60704.0,0.1154454401686874,85340.0,4878.802490234375,379.203125,5792.0,54176.0,0.10691080921441228,97076.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,32,0,96,15,127,3,2,1,BI_VERT,1776259,1776259,0,4277.37109375,356.5625,17376.0,49216.0,0.3530559167750325,182560.0,2655.642333984375,333.671875,7104.0,60640.0,0.11715039577836413,85420.0,4851.138427734375,379.453125,5568.0,54112.0,0.1028976936723832,97140.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,32,0,128,15,159,1,2,1,BI_VERT,1534267,1534267,0,6682.511169433594,373.7734375,63136.0,15104.0,4.180084745762712,191372.0,2328.927490234375,371.203125,56160.0,2976.0,18.870967741935484,95028.0,11022.8818359375,376.34375,12224.0,12128.0,1.0079155672823221,96344.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,32,0,128,15,159,2,2,1,BI_VERT,2440746,2440746,0,6673.834899902344,373.6796875,63040.0,15328.0,4.112734864300626,191324.0,2337.876708984375,371.171875,56320.0,3168.0,17.777777777777782,95020.0,10997.21484375,376.1875,12160.0,12160.0,1.0,96304.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,27,416,240,16,32,0,128,15,159,2,2,1,BI_VERT,1095596,1095596,0,6673.834899902344,373.6796875,63040.0,15328.0,4.112734864300626,191324.0,2337.876708984375,371.171875,56320.0,3168.0,17.777777777777782,95020.0,10997.21484375,376.1875,12160.0,12160.0,1.0,96304.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,32,416,240,16,32,0,128,15,159,2,1,2,BI_VERT,645887,645887,0,6673.834899902344,373.6796875,63040.0,15328.0,4.112734864300626,191324.0,2337.876708984375,371.171875,56320.0,3168.0,17.777777777777782,95020.0,10997.21484375,376.1875,12160.0,12160.0,1.0,96304.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,32,416,240,16,32,0,128,15,159,2,2,1,BI_VERT,645887,645887,0,6673.834899902344,373.6796875,63040.0,15328.0,4.112734864300626,191324.0,2337.876708984375,371.171875,56320.0,3168.0,17.777777777777782,95020.0,10997.21484375,376.1875,12160.0,12160.0,1.0,96304.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,32,0,128,15,159,3,2,1,BI_VERT,1563475,1563475,0,6629.870849609375,373.640625,63104.0,15200.0,4.151578947368422,191304.0,2345.427490234375,371.203125,56224.0,3104.0,18.11340206185567,95028.0,10902.431396484377,376.078125,12192.0,12096.0,1.007936507936508,96276.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,32,0,160,15,191,1,2,1,BI_VERT,1933048,1933048,0,7955.796875,376.875,24256.0,59424.0,0.4081852450188476,192960.0,6350.0927734375,338.53125,56096.0,63200.0,0.8875949367088608,86664.0,6621.0146484375,415.21875,38016.0,61760.0,0.6155440414507772,106296.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,32,0,160,15,191,2,2,1,BI_VERT,3041778,3041778,0,7918.048583984375,376.671875,24064.0,59392.0,0.4051724137931034,192856.0,6371.923583984375,338.671875,56320.0,63264.0,0.8902377339403136,86700.0,6576.173583984375,414.671875,37664.0,61664.0,0.6107939802802284,106156.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,27,416,240,16,32,0,160,15,191,2,2,1,BI_VERT,1722199,1722199,0,7918.048583984375,376.671875,24064.0,59392.0,0.4051724137931034,192856.0,6371.923583984375,338.671875,56320.0,63264.0,0.8902377339403136,86700.0,6576.173583984375,414.671875,37664.0,61664.0,0.6107939802802284,106156.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,32,416,240,16,32,0,160,15,191,2,1,2,BI_VERT,1244221,1244221,0,7918.048583984375,376.671875,24064.0,59392.0,0.4051724137931034,192856.0,6371.923583984375,338.671875,56320.0,63264.0,0.8902377339403136,86700.0,6576.173583984375,414.671875,37664.0,61664.0,0.6107939802802284,106156.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,32,416,240,16,32,0,160,15,191,2,2,1,BI_VERT,1243452,1243452,0,7918.048583984375,376.671875,24064.0,59392.0,0.4051724137931034,192856.0,6371.923583984375,338.671875,56320.0,63264.0,0.8902377339403136,86700.0,6576.173583984375,414.671875,37664.0,61664.0,0.6107939802802284,106156.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
