topLeft_x,topLeft_y,bottomRight_x,bottomRight_y,POC,variance,mean,gradientH,gradientV,ratioGrad,sum,quarter1Var,quarter1Mean,quarter1GradH,quarter1GradV,quarter1RatioGrad,quarter1Sum,quarter2Var,quarter2Mean,quarter2GradH,quarter2GradV,quarter2RatioGrad,quarter2Sum,quarter3Var,quarter3Mean,quarter3GradH,quarter3GradV,quarter3RatioGrad,quarter3Sum,quarter4Var,quarter4Mean,quarter4GradH,quarter4GradV,quarter4RatioGrad,quarter4Sum,videoname,CU_width,CU_height
368.0,64.0,375.0,127.0,3.0,1586.8740234375,389.03125,43232.0,1504.0,28.74468085106383,199184.0,275.579833984375,415.671875,60000.0,1120.0,53.57142857142857,106412.0,1478.722412109375,362.390625,48416.0,384.0,126.08333333333333,92772.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,8,64
376.0,64.0,383.0,127.0,3.0,2219.4589233398438,387.6328125,3392.0,800.0,4.24,198468.0,2104.325927734375,385.453125,24256.0,288.0,84.22222222222223,98676.0,2325.08984375,389.8125,49952.0,512.0,97.5625,99792.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,8,64
384.0,64.0,391.0,127.0,3.0,2615.6537475585938,386.3984375,6784.0,288.0,23.555555555555557,197836.0,2448.620849609375,382.359375,3072.0,384.0,8.0,97884.0,2750.05859375,390.4375,2464.0,65440.0,0.03765281173594132,99952.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,8,64
392.0,64.0,399.0,127.0,3.0,2899.136474609375,395.140625,640.0,64576.0,0.009910802775024777,202312.0,2922.9677734375,394.53125,65120.0,65152.0,0.99950884086444,101000.0,2874.5625,395.75,192.0,64960.0,0.002955665024630542,101312.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,8,64
400.0,64.0,407.0,127.0,3.0,3108.6791381835938,367.5234375,28608.0,65024.0,0.43996062992125984,188172.0,2908.87109375,392.0625,61472.0,32.0,1921.0,100368.0,2104.156005859375,342.984375,30816.0,64992.0,0.4741506646971935,87804.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,8,64
408.0,64.0,415.0,127.0,3.0,5485.267333984375,362.328125,2720.0,1984.0,1.3709677419354838,185512.0,960.9990234375,309.96875,4928.0,65056.0,0.07575012297097884,79352.0,4526.52734375,414.6875,44128.0,2464.0,17.90909090909091,106160.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,8,64
0.0,128.0,7.0,191.0,3.0,4619.212646484375,354.921875,46656.0,352.0,132.54545454545453,181720.0,6015.21484375,364.1875,37312.0,640.0,58.3,93232.0,3051.5068359375,345.65625,14176.0,65248.0,0.21726336439431093,88488.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,8,64
8.0,128.0,15.0,191.0,3.0,9087.768493652344,395.4296875,49568.0,7904.0,6.271255060728745,202460.0,7210.4375,358.25,31200.0,4032.0,7.738095238095238,91712.0,8200.441162109375,432.609375,10848.0,3872.0,2.8016528925619837,110748.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,8,64
16.0,128.0,23.0,191.0,3.0,7018.168395996094,388.3359375,46240.0,1312.0,35.24390243902439,198828.0,8427.618896484375,410.078125,28672.0,3392.0,8.452830188679245,104980.0,4663.2724609375,366.59375,24480.0,63456.0,0.3857791225416036,93848.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,8,64
24.0,128.0,31.0,191.0,3.0,6448.138610839844,475.8671875,52928.0,57248.0,0.9245388485187256,243644.0,6310.8037109375,429.09375,5088.0,61312.0,0.08298538622129437,109848.0,2209.964599609375,522.640625,60480.0,61472.0,0.9838625715773035,133796.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,8,64
32.0,128.0,39.0,191.0,3.0,8352.238708496094,430.8359375,43008.0,58208.0,0.7388675096206707,220588.0,2823.1787109375,492.90625,28384.0,61376.0,0.4624608967674661,126184.0,6175.851318359375,368.765625,19744.0,62368.0,0.31657260133401743,94404.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,8,64
